SITE_ID,NAME_ENG,DESIG,forest_loss_ha,agriculture_gain_ha,urban_gain_ha,forest_2017_ha,forest_2024_ha,total_area_ha,forest_loss_pct,cloud_2017_ha,cloud_2024_ha,cloud_diff_ha,valid_common_ha,valid_common_pct,excluded_pct,cloud_contamination_flag,metric,rank_scope
101097,Achaguas,Área Boscosa Bajo Protección (ABBP),7101.86,1356.32,31.31,23604.07,16502.21,90543.98,30.09,0.06,0.0,-0.06,90543.98,100.0,0.0,False,forest_loss_ha,Área Boscosa Bajo Protección (ABBP)
101106,Caño Caballo,Área Boscosa Bajo Protección (ABBP),5924.27,110.91,0.56,16707.73,10783.46,54794.19,35.46,0.38,0.0,-0.38,54794.19,100.0,0.0,False,forest_loss_ha,Área Boscosa Bajo Protección (ABBP)
10784,Ticoporo,Reserva Forestal (RF),13013.4,17995.07,519.27,26689.45,13676.05,187841.96,48.76,417.75,0.05,-417.7,187841.96,99.78,0.22,False,agriculture_gain_ha,national
555705237,"Distritos Obispos, Sosa, Rojas y Bolívar del Estado Barinas, y Guanare y Guanarito del Estado Portuguesa (Guanare - Masparro)",Reserva Nacional Hidraúlica (RNH),26331.28,15137.4,1976.02,387241.47,360910.19,899120.02,6.8,11066.7,14007.28,2940.58,899120.02,97.79,2.21,False,agriculture_gain_ha,national
19286,Santos Luzardo,Parque Nacional (PN),0.0,13470.38,0.0,66433.06,71381.21,561807.18,0.0,2.11,0.0,-2.11,561807.18,100.0,0.0,False,agriculture_gain_ha,national
101111,Barbacas,Área Boscosa Bajo Protección (ABBP),19858.22,10687.01,30.13,65650.65,45792.43,222493.17,30.25,6.88,0.0,-6.88,222493.17,100.0,0.0,False,agriculture_gain_ha,national
101099,Santo Domingo,Área Boscosa Bajo Protección (ABBP),4977.85,5143.83,33.2,36169.82,31191.97,148409.12,13.76,0.76,0.0,-0.76,148409.12,100.0,0.0,False,agriculture_gain_ha,national
101100,Río Orituco,Área Boscosa Bajo Protección (ABBP),12682.05,4513.4,30.53,23837.91,11155.86,98804.18,53.2,3.52,0.0,-3.52,98804.18,100.0,0.0,False,agriculture_gain_ha,national
101093,Márgenes del Río Guárico,Área Boscosa Bajo Protección (ABBP),22453.64,3877.22,19.02,67482.14,45028.5,165486.95,33.27,37.11,0.0,-37.11,165486.95,99.98,0.02,False,agriculture_gain_ha,national
10772,Sur del Estado Bolívar,Zona Protectora (ZP),21787.47,1903.89,98.57,4561287.5,4539500.03,4865548.9,0.48,41861.73,3377.84,-38483.89,4865548.9,99.13,0.87,False,agriculture_gain_ha,national
10782,San Camilo,Reserva Forestal (RF),3773.78,1591.34,135.08,28846.39,25072.61,66855.2,13.08,1.44,0.0,-1.44,66855.2,100.0,0.0,False,agriculture_gain_ha,national
555705216,Caño Blanco,Área Boscosa Bajo Protección (ABBP),2028.38,1560.74,0.0,38865.5,36837.12,68041.58,5.22,49.27,0.79,-48.48,68041.58,99.93,0.07,False,agriculture_gain_ha,national
555705242,Montecano,Monumento Natural (MN),0.0,140.5,0.0,691.64,1026.89,2575.1,0.0,0.0,0.0,0.0,2575.1,100.0,0.0,False,agriculture_gain_ha,Monumento Natural (MN)
101141,Serranía Yutajé / Coro - coro,Monumento Natural (MN),1374.84,20.36,0.0,90169.15,88794.31,107823.5,1.52,2346.92,271.88,-2075.04,107823.5,97.81,2.19,False,agriculture_gain_ha,Monumento Natural (MN)
67611,Piedra La Tortuga,Monumento Natural (MN),5.07,17.56,0.0,86.21,81.14,468.86,5.88,0.0,0.0,0.0,468.86,100.0,0.0,False,agriculture_gain_ha,Monumento Natural (MN)
555705240,Cadena de Tepuyes Orientales: Llu (Tramen) Tepuy. Karaurín Tepuy. Uei Tepuy. Yuruaní Tepuy. Kukenán (Mataui) Tepuy. Wadakapiapué Tepuy.,Monumento Natural (MN),0.0,13.12,0.04,56094.36,56099.88,140453.71,0.0,3500.15,550.87,-2949.28,140453.71,97.56,2.44,False,agriculture_gain_ha,Monumento Natural (MN)
101139,Cerro Camani y Cerro Morrocoy,Monumento Natural (MN),1375.4,1.92,0.0,86443.56,85068.16,115924.32,1.59,9.53,8.36,-1.17,115924.32,99.99,0.01,False,agriculture_gain_ha,Monumento Natural (MN)
101143,Macizo Cuao - Sipapo y Cerro Moriche,Monumento Natural (MN),3402.83,1.28,0.0,1140731.04,1137328.21,1226582.32,0.3,437.25,554.58,117.33,1226582.32,99.93,0.07,False,agriculture_gain_ha,Monumento Natural (MN)
19280,Loma de León,Monumento Natural (MN),0.0,0.64,55.19,675.55,936.83,7660.71,0.0,0.61,0.0,-0.61,7660.71,99.99,0.01,False,agriculture_gain_ha,Monumento Natural (MN)
311,Cerros Matasiete y Guayamurí,Monumento Natural (MN),252.35,0.37,1.66,812.84,560.49,1628.74,31.05,17.7,0.04,-17.66,1628.74,98.92,1.08,False,agriculture_gain_ha,Monumento Natural (MN)
101150,Abra Río Frío,Monumento Natural (MN),0.0,0.18,0.0,1136.14,1202.58,1326.98,0.0,0.0,0.0,0.0,1326.98,100.0,0.0,False,agriculture_gain_ha,Monumento Natural (MN)
101148,Cerro Yaví,Monumento Natural (MN),0.0,0.01,0.0,17288.3,17358.95,26950.68,0.0,241.35,87.19,-154.16,26950.68,98.99,1.01,False,agriculture_gain_ha,Monumento Natural (MN)
19286,Santos Luzardo,Parque Nacional (PN),0.0,13470.38,0.0,66433.06,71381.21,561807.18,0.0,2.11,0.0,-2.11,561807.18,100.0,0.0,False,agriculture_gain_ha,Parque Nacional (PN)
315,Aguaro - Guariquito,Parque Nacional (PN),5247.67,699.61,0.0,30910.34,25662.67,580070.53,16.98,3.58,0.0,-3.58,580070.53,100.0,0.0,False,agriculture_gain_ha,Parque Nacional (PN)
101136,Río Viejo - San Camilo,Parque Nacional (PN),3813.87,577.7,34.66,24814.1,21000.23,42518.01,15.37,0.53,0.0,-0.53,42518.01,100.0,0.0,False,agriculture_gain_ha,Parque Nacional (PN)
322,"Páramos de Tamá, Cobre y Judio",Parque Nacional (PN),0.0,62.88,0.0,103202.23,104272.78,118472.83,0.0,6665.36,14820.02,8154.66,118472.83,87.26,12.74,True,agriculture_gain_ha,Parque Nacional (PN)
30026,Paríma - Tapirapeco,Parque Nacional (PN),3150.17,20.75,0.0,3841694.72,3838544.55,3892237.47,0.08,13179.0,593.51,-12585.49,3892237.47,99.66,0.34,False,agriculture_gain_ha,Parque Nacional (PN)
331,Laguna de Tacarigua,Parque Nacional (PN),0.0,12.91,2.86,7995.92,8170.38,18924.09,0.0,0.0,0.0,0.0,18924.09,100.0,0.0,False,agriculture_gain_ha,Parque Nacional (PN)
30032,Cerro Saroche,Parque Nacional (PN),733.55,3.37,0.0,1882.35,1148.8,36176.03,38.97,2.48,0.0,-2.48,36176.03,99.99,0.01,False,agriculture_gain_ha,Parque Nacional (PN)
30024,Turuépano,Parque Nacional (PN),0.0,0.43,0.0,47290.44,49246.24,72071.95,0.0,0.48,0.0,-0.48,72071.95,100.0,0.0,False,agriculture_gain_ha,Parque Nacional (PN)
67615,Tirgua (General Manuel Manrique),Parque Nacional (PN),10659.57,0.1,0.0,81981.6,71322.03,90218.69,13.0,71.72,1.78,-69.94,90218.69,99.92,0.08,False,agriculture_gain_ha,Parque Nacional (PN)
10784,Ticoporo,Reserva Forestal (RF),13013.4,17995.07,519.27,26689.45,13676.05,187841.96,48.76,417.75,0.05,-417.7,187841.96,99.78,0.22,False,agriculture_gain_ha,Reserva Forestal (RF)
10782,San Camilo,Reserva Forestal (RF),3773.78,1591.34,135.08,28846.39,25072.61,66855.2,13.08,1.44,0.0,-1.44,66855.2,100.0,0.0,False,agriculture_gain_ha,Reserva Forestal (RF)
10783,Caparo,Reserva Forestal (RF),10638.03,1035.77,207.49,53947.99,43309.96,175223.12,19.72,1.39,0.0,-1.39,175223.12,100.0,0.0,False,agriculture_gain_ha,Reserva Forestal (RF)
10785,Turén,Reserva Forestal (RF),0.0,440.53,114.27,7726.49,8929.83,96932.19,0.0,0.0,0.0,0.0,96932.19,100.0,0.0,False,agriculture_gain_ha,Reserva Forestal (RF)
10781,Sipapo,Reserva Forestal (RF),594.38,424.84,0.0,1787496.23,1786901.85,1976466.01,0.03,797.81,893.58,95.77,1976466.01,99.93,0.07,False,agriculture_gain_ha,Reserva Forestal (RF)
10779,Imataca,Reserva Forestal (RF),17129.81,8.44,2952.9,3627722.57,3610592.76,3715871.45,0.47,3232.54,368.42,-2864.12,3715871.45,99.91,0.09,False,agriculture_gain_ha,Reserva Forestal (RF)
