SITE_ID,NAME_ENG,DESIG,forest_loss_ha,agriculture_gain_ha,urban_gain_ha,forest_2017_ha,forest_2024_ha,total_area_ha,forest_loss_pct,cloud_2017_ha,cloud_2024_ha,cloud_diff_ha,valid_common_ha,valid_common_pct,excluded_pct,cloud_contamination_flag
20086,Subcuenca de la Quebrada Las González,Zona Protectora (ZP),163.95,45.71,50.42,3536.71,3372.76,10997.65,4.64,3.49,0.01,-3.48,10997.65,99.97,0.03,False
555705238,Páramo La Laja,Reserva Nacional Hidraúlica (RNH),145.06,0.0,18.06,1698.99,1553.93,2217.65,8.54,0.0,0.0,0.0,2217.65,100.0,0.0,False
555705241,Teta de Niquitao - Guirigay,Monumento Natural (MN),125.22,0.0,0.0,15238.36,15113.14,23725.4,0.82,1364.93,4907.32,3542.39,23725.4,81.83,18.17,True
30645,Cuenca Hidrográfica del Embalse La Mariposa,Zona Protectora (ZP),113.79,0.64,26.64,2206.99,2093.2,2796.92,5.16,28.78,2.51,-26.27,2796.92,98.94,1.06,False
101119,Santa Rosa,Área Boscosa Bajo Protección (ABBP),113.27,0.0,0.0,44588.5,44475.23,98829.46,0.25,10.03,0.0,-10.03,98829.46,99.99,0.01,False
30639,Subcuenca Río Mucujún,Zona Protectora (ZP),112.87,0.0,35.46,6900.45,6787.58,19161.31,1.64,1.01,0.69,-0.32,19161.31,99.99,0.01,False
101110,Delgadito,Área Boscosa Bajo Protección (ABBP),109.53,153.96,20.91,905.05,795.52,3336.51,12.1,0.0,0.0,0.0,3336.51,100.0,0.0,False
330,Yurubí,Parque Nacional (PN),109.46,0.0,6.54,23220.11,23110.65,23569.84,0.47,625.65,59.54,-566.11,23569.84,97.21,2.79,False
101086,Páramo La Laja,Área Boscosa Bajo Protección (ABBP),106.47,0.0,6.11,2130.81,2024.34,2209.67,5.0,7.56,0.0,-7.56,2209.67,99.66,0.34,False
20095,Valle del Algodonal,Zona Protectora (ZP),101.36,0.0,4.18,119.15,17.79,207.96,85.07,2.78,0.0,-2.78,207.96,98.68,1.32,False
30634,Cuenca del Río Albarregas,Zona Protectora (ZP),86.09,3.94,64.54,7250.39,7164.3,10517.91,1.19,15.48,0.25,-15.23,10517.91,99.85,0.15,False
30027,Pico Codazzi,Monumento Natural (MN),85.12,0.0,42.82,11376.02,11290.9,11617.86,0.75,158.21,11.94,-146.27,11617.86,98.61,1.39,False
30644,Área que bordea la Laguna La Danta,Zona Protectora (ZP),80.76,114.41,9.09,293.61,212.85,2206.73,27.51,0.0,0.0,0.0,2206.73,100.0,0.0,False
337,Cueva de la Quebrada El Toro,Parque Nacional (PN),79.48,0.0,0.69,3533.51,3454.03,3838.7,2.25,3.5,0.78,-2.72,3838.7,99.89,0.11,False
336,Laguna de La Restinga,Parque Nacional (PN),59.37,0.0,0.62,75.65,16.28,11021.36,78.48,0.0,0.0,0.0,11021.36,100.0,0.0,False
